Application Name:	ZOOMA (Automatic Ontology Mapper)
Version:	2.0
Run at:	20:28.03, 13.06.20
Run from:	http://www.ebi.ac.uk/fgpt/zooma


PROPERTY TYPE	PROPERTY VALUE	ONTOLOGY TERM LABEL(S)	ONTOLOGY TERM SYNONYM(S)	CONFIDENCE	ONTOLOGY TERM(S)	ONTOLOGY(S)	SOURCE(S)	STUDY
[NO TYPE]	Viral hepatitis	animal viral hepatitis		Medium	EFO_0007540	http://www.ebi.ac.uk/efo/	https://github.com/EBISPOT/EFO-UKB-mappings	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Viral hepatitis	viral human hepatitis infection		Medium	EFO_0004196	http://www.ebi.ac.uk/efo/	https://github.com/EBISPOT/EFO-UKB-mappings	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Viral hepatitis	Hepatitis		Medium	HP_0012115	http://purl.obolibrary.org/obo/	https://github.com/EBISPOT/EFO-UKB-mappings	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Viral infections characterized by skin and mucous membrane lesions	autoimmune bullous skin disease		Good	EFO_0008598	http://www.ebi.ac.uk/efo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Asthma/COPD-related acute respiratory infections	Recurrent respiratory infections		Medium	HP_0002205	http://purl.obolibrary.org/obo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Asthma/COPD-related acute respiratory infections	acute respiratory failure		Medium	MONDO_0001208	http://purl.obolibrary.org/obo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Alzheimer's disease	Alzheimer's disease		High	EFO_0000249	http://www.ebi.ac.uk/efo/	http://www.genome.gov/gwastudies/	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Alzheimer's disease (Atypical or mixed)	survival time, Alzheimer's disease	; 	Medium	EFO_0000714, EFO_0000249	http://www.ebi.ac.uk/efo/, http://www.ebi.ac.uk/efo/	http://www.genome.gov/gwastudies/	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Alzheimer's disease (Atypical or mixed)	Alzheimer's disease		Medium	EFO_0000249	http://www.ebi.ac.uk/efo/	http://www.genome.gov/gwastudies/	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Alzheimer's disease (Atypical or mixed)	survival time		Medium	EFO_0000714	http://www.ebi.ac.uk/efo/	http://www.genome.gov/gwastudies/	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Alzheimer's disease (Atypical or mixed)	age at onset, Alzheimer's disease	; 	Medium	EFO_0004847, EFO_0000249	http://www.ebi.ac.uk/efo/, http://www.ebi.ac.uk/efo/	http://www.genome.gov/gwastudies/	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Alzheimer's disease (Atypical or mixed)	age at onset		Medium	EFO_0004847	http://www.ebi.ac.uk/efo/	http://www.genome.gov/gwastudies/	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Alzheimer's disease (Atypical or mixed)	APOE carrier status, Alzheimer's disease	; 	Medium	EFO_0007659, EFO_0000249	http://www.ebi.ac.uk/efo/, http://www.ebi.ac.uk/efo/	http://www.genome.gov/gwastudies/	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Alzheimer's disease (Atypical or mixed)	Alzheimer's disease biomarker measurement		Medium	EFO_0006514	http://www.ebi.ac.uk/efo/	http://www.genome.gov/gwastudies/	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Alzheimer's disease (Atypical or mixed)	late-onset Alzheimers disease		Medium	EFO_1001870	http://www.ebi.ac.uk/efo/	http://www.genome.gov/gwastudies/	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Alzheimer's disease (Atypical or mixed)	late-onset Alzheimers disease, Alzheimer's disease	; 	Medium	EFO_1001870, EFO_0000249	http://www.ebi.ac.uk/efo/, http://www.ebi.ac.uk/efo/	http://www.genome.gov/gwastudies/	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Alzheimer's disease (Atypical or mixed)	survival time, Alzheimer's disease	; 	Medium	EFO_0000714, EFO_0000249	http://www.ebi.ac.uk/efo/, http://www.ebi.ac.uk/efo/	http://www.genome.gov/gwastudies/	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Alzheimer's disease (Atypical or mixed)	Alzheimer's disease		Medium	EFO_0000249	http://www.ebi.ac.uk/efo/	http://www.genome.gov/gwastudies/	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Alzheimer's disease (Atypical or mixed)	survival time		Medium	EFO_0000714	http://www.ebi.ac.uk/efo/	http://www.genome.gov/gwastudies/	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Alzheimer's disease (Atypical or mixed)	age at onset, Alzheimer's disease	; 	Medium	EFO_0004847, EFO_0000249	http://www.ebi.ac.uk/efo/, http://www.ebi.ac.uk/efo/	http://www.genome.gov/gwastudies/	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Alzheimer's disease (Atypical or mixed)	age at onset		Medium	EFO_0004847	http://www.ebi.ac.uk/efo/	http://www.genome.gov/gwastudies/	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Alzheimer's disease (Atypical or mixed)	APOE carrier status, Alzheimer's disease	; 	Medium	EFO_0007659, EFO_0000249	http://www.ebi.ac.uk/efo/, http://www.ebi.ac.uk/efo/	http://www.genome.gov/gwastudies/	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Alzheimer's disease (Atypical or mixed)	Alzheimer's disease biomarker measurement		Medium	EFO_0006514	http://www.ebi.ac.uk/efo/	http://www.genome.gov/gwastudies/	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Alzheimer's disease (Atypical or mixed)	late-onset Alzheimers disease		Medium	EFO_1001870	http://www.ebi.ac.uk/efo/	http://www.genome.gov/gwastudies/	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Alzheimer's disease (Atypical or mixed)	late-onset Alzheimers disease, Alzheimer's disease	; 	Medium	EFO_1001870, EFO_0000249	http://www.ebi.ac.uk/efo/, http://www.ebi.ac.uk/efo/	http://www.genome.gov/gwastudies/	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Alzheimer's disease (Early onset)	Alzheimer's disease		Medium	EFO_0000249	http://www.ebi.ac.uk/efo/	http://www.genome.gov/gwastudies/	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Alzheimer's disease (Early onset)	late-onset Alzheimers disease		Medium	EFO_1001870	http://www.ebi.ac.uk/efo/	http://www.genome.gov/gwastudies/	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Alzheimer's disease (Early onset)	late-onset Alzheimers disease, Alzheimer's disease	; 	Medium	EFO_1001870, EFO_0000249	http://www.ebi.ac.uk/efo/, http://www.ebi.ac.uk/efo/	http://www.genome.gov/gwastudies/	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Alzheimer's disease (Early onset)	age at onset, Alzheimer's disease	; 	Medium	EFO_0004847, EFO_0000249	http://www.ebi.ac.uk/efo/, http://www.ebi.ac.uk/efo/	http://www.genome.gov/gwastudies/	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Alzheimer's disease (Early onset)	age at onset		Medium	EFO_0004847	http://www.ebi.ac.uk/efo/	http://www.genome.gov/gwastudies/	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Alzheimer's disease (Early onset)	Alzheimer's disease		Medium	EFO_0000249	http://www.ebi.ac.uk/efo/	http://www.genome.gov/gwastudies/	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Alzheimer's disease (Early onset)	late-onset Alzheimers disease		Medium	EFO_1001870	http://www.ebi.ac.uk/efo/	http://www.genome.gov/gwastudies/	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Alzheimer's disease (Early onset)	late-onset Alzheimers disease, Alzheimer's disease	; 	Medium	EFO_1001870, EFO_0000249	http://www.ebi.ac.uk/efo/, http://www.ebi.ac.uk/efo/	http://www.genome.gov/gwastudies/	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Alzheimer's disease (Early onset)	age at onset, Alzheimer's disease	; 	Medium	EFO_0004847, EFO_0000249	http://www.ebi.ac.uk/efo/, http://www.ebi.ac.uk/efo/	http://www.genome.gov/gwastudies/	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Alzheimer's disease (Early onset)	age at onset		Medium	EFO_0004847	http://www.ebi.ac.uk/efo/	http://www.genome.gov/gwastudies/	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Alzheimer's disease (more excluded)	age at onset, Alzheimer's disease	; 	Medium	EFO_0004847, EFO_0000249	http://www.ebi.ac.uk/efo/, http://www.ebi.ac.uk/efo/	http://www.genome.gov/gwastudies/	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Alzheimer's disease (more excluded)	Alzheimer's disease		Medium	EFO_0000249	http://www.ebi.ac.uk/efo/	http://www.genome.gov/gwastudies/	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Alzheimer's disease (more excluded)	age at onset		Medium	EFO_0004847	http://www.ebi.ac.uk/efo/	http://www.genome.gov/gwastudies/	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Alzheimer's disease (more excluded)	survival time, Alzheimer's disease	; 	Medium	EFO_0000714, EFO_0000249	http://www.ebi.ac.uk/efo/, http://www.ebi.ac.uk/efo/	http://www.genome.gov/gwastudies/	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Alzheimer's disease (more excluded)	survival time		Medium	EFO_0000714	http://www.ebi.ac.uk/efo/	http://www.genome.gov/gwastudies/	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Alzheimer's disease (more excluded)	late-onset Alzheimers disease		Medium	EFO_1001870	http://www.ebi.ac.uk/efo/	http://www.genome.gov/gwastudies/	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Alzheimer's disease (more excluded)	late-onset Alzheimers disease, Alzheimer's disease	; 	Medium	EFO_1001870, EFO_0000249	http://www.ebi.ac.uk/efo/, http://www.ebi.ac.uk/efo/	http://www.genome.gov/gwastudies/	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Alzheimer's disease (more excluded)	Alzheimer's disease, hypertension	; 	Medium	EFO_0000249, EFO_0000537	http://www.ebi.ac.uk/efo/, http://www.ebi.ac.uk/efo/	http://www.genome.gov/gwastudies/	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Alzheimer's disease (more excluded)	Alzheimer's disease biomarker measurement		Medium	EFO_0006514	http://www.ebi.ac.uk/efo/	http://www.genome.gov/gwastudies/	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Alzheimer's disease (Late onset)	Alzheimer's disease		Good	EFO_0000249	http://www.ebi.ac.uk/efo/	http://www.genome.gov/gwastudies/	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Alzheimer's disease (Late onset)	late-onset Alzheimers disease		Good	EFO_1001870	http://www.ebi.ac.uk/efo/	http://www.genome.gov/gwastudies/	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Alzheimer's disease (Late onset)	late-onset Alzheimers disease, Alzheimer's disease	; 	Good	EFO_1001870, EFO_0000249	http://www.ebi.ac.uk/efo/, http://www.ebi.ac.uk/efo/	http://www.genome.gov/gwastudies/	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Alzheimer's disease (Late onset)	Alzheimer's disease		Good	EFO_0000249	http://www.ebi.ac.uk/efo/	http://www.genome.gov/gwastudies/	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Alzheimer's disease (Late onset)	late-onset Alzheimers disease		Good	EFO_1001870	http://www.ebi.ac.uk/efo/	http://www.genome.gov/gwastudies/	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Alzheimer's disease (Late onset)	late-onset Alzheimers disease, Alzheimer's disease	; 	Good	EFO_1001870, EFO_0000249	http://www.ebi.ac.uk/efo/, http://www.ebi.ac.uk/efo/	http://www.genome.gov/gwastudies/	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Toxic effect of ethanol	heavy metal poisoning		Medium	EFO_1001518	http://www.ebi.ac.uk/efo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Toxic effect of ethanol	ciguatera poisoning		Medium	EFO_1001291	http://www.ebi.ac.uk/efo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Acute alcohol intoxication	alcohol dependence		Medium	EFO_0003829	http://www.ebi.ac.uk/efo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Acute alcohol intoxication	intoxication		Medium	EFO_0009574	http://www.ebi.ac.uk/efo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Acute alcohol intoxication ICD-9 (inculed in Swedish definition)	alcohol dependence		Medium	EFO_0003829	http://www.ebi.ac.uk/efo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Acute alcohol intoxication ICD-9 (inculed in Swedish definition)	intoxication		Medium	EFO_0009574	http://www.ebi.ac.uk/efo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Mental and behavioural disorders due to alcohol, excluding acute intoxication	mental or behavioural disorder		Medium	EFO_0000677	http://www.ebi.ac.uk/efo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Mental and behavioural disorders due to alcohol, excluding acute intoxication	mental or behavioural disorder biomarker		Medium	EFO_0006848	http://www.ebi.ac.uk/efo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Alcohol related diseases and deaths, all endoints	N/A	N/A	Did not map	N/A	N/A	N/A	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Alcoholic liver disease	alcoholic liver disease		High	EFO_0008573	http://www.ebi.ac.uk/efo/	https://github.com/EBISPOT/EFO-UKB-mappings	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Degeneration of nervous system due to alcohol	tetanus		Good	EFO_0005593	http://www.ebi.ac.uk/efo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Acohol-induced acute pancreatitis	asparaginase-induced acute pancreatitis		Medium	EFO_1001507	http://www.ebi.ac.uk/efo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Acohol-induced acute pancreatitis	acute pancreatitis		Medium	EFO_1000652	http://www.ebi.ac.uk/efo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Alcohol-induced chronic pancreatitis	chronic pancreatitis		Good	EFO_0000342	http://www.ebi.ac.uk/efo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Toxic effect of unspecified or or other (than ethanol) alcohols	anthrax infection		Good	EFO_0000778	http://www.ebi.ac.uk/efo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Use of disulfiram, acamprosate or naltrexone	disulfiram		Medium	CHEBI_4659	http://purl.obolibrary.org/obo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Use of disulfiram, acamprosate or naltrexone	Impaired use of nonverbal behaviors		Medium	HP_0000758	http://purl.obolibrary.org/obo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Allergic asthma	allergy		Medium	EFO_0003785	http://www.ebi.ac.uk/efo/	http://www.genome.gov/gwastudies/	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Allergic asthma	Eczema, asthma, allergic rhinitis	; ; 	Medium	HP_0000964, EFO_0000270, EFO_0005854	http://purl.obolibrary.org/obo/, http://www.ebi.ac.uk/efo/, http://www.ebi.ac.uk/efo/	http://www.genome.gov/gwastudies/	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Allergic asthma	allergy, asthma	; 	Medium	EFO_0003785, EFO_0000270	http://www.ebi.ac.uk/efo/, http://www.ebi.ac.uk/efo/	http://www.genome.gov/gwastudies/	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Allergic asthma	asthma		Medium	EFO_0000270	http://www.ebi.ac.uk/efo/	http://www.genome.gov/gwastudies/	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Allergic asthma	asthma, allergic rhinitis	; 	Medium	EFO_0000270, EFO_0005854	http://www.ebi.ac.uk/efo/, http://www.ebi.ac.uk/efo/	http://www.genome.gov/gwastudies/	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Allergic asthma	Eczema		Medium	HP_0000964	http://purl.obolibrary.org/obo/	http://www.genome.gov/gwastudies/	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Allergic asthma	allergic rhinitis		Medium	EFO_0005854	http://www.ebi.ac.uk/efo/	http://www.genome.gov/gwastudies/	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Allergic asthma	Eczema, asthma	; 	Medium	HP_0000964, EFO_0000270	http://purl.obolibrary.org/obo/, http://www.ebi.ac.uk/efo/	http://www.genome.gov/gwastudies/	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Allergic asthma	Eczema, allergic rhinitis	; 	Medium	HP_0000964, EFO_0005854	http://purl.obolibrary.org/obo/, http://www.ebi.ac.uk/efo/	http://www.genome.gov/gwastudies/	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Allergic asthma	allergy, Eczema, asthma, allergic rhinitis	; ; ; 	Medium	EFO_0003785, HP_0000964, EFO_0000270, EFO_0005854	http://www.ebi.ac.uk/efo/, http://purl.obolibrary.org/obo/, http://www.ebi.ac.uk/efo/, http://www.ebi.ac.uk/efo/	http://www.genome.gov/gwastudies/	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Allergic asthma	allergy, Eczema	; 	Medium	EFO_0003785, HP_0000964	http://www.ebi.ac.uk/efo/, http://purl.obolibrary.org/obo/	http://www.genome.gov/gwastudies/	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Allergic asthma	allergy, Eczema, asthma	; ; 	Medium	EFO_0003785, HP_0000964, EFO_0000270	http://www.ebi.ac.uk/efo/, http://purl.obolibrary.org/obo/, http://www.ebi.ac.uk/efo/	http://www.genome.gov/gwastudies/	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Allergic asthma	allergy, Eczema, allergic rhinitis	; ; 	Medium	EFO_0003785, HP_0000964, EFO_0005854	http://www.ebi.ac.uk/efo/, http://purl.obolibrary.org/obo/, http://www.ebi.ac.uk/efo/	http://www.genome.gov/gwastudies/	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Allergic asthma (mode)	allergy, asthma	; 	Medium	EFO_0003785, EFO_0000270	http://www.ebi.ac.uk/efo/, http://www.ebi.ac.uk/efo/	http://www.genome.gov/gwastudies/	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Allergic asthma (mode)	allergy		Medium	EFO_0003785	http://www.ebi.ac.uk/efo/	http://www.genome.gov/gwastudies/	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Allergic asthma (mode)	asthma		Medium	EFO_0000270	http://www.ebi.ac.uk/efo/	http://www.genome.gov/gwastudies/	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Allergic rhinitis	allergic rhinitis		Good	EFO_0005854	http://www.ebi.ac.uk/efo/	http://www.genome.gov/gwastudies/	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Allergic rhinitis	seasonal allergic rhinitis		Good	EFO_0003956	http://www.ebi.ac.uk/efo/	http://www.genome.gov/gwastudies/	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Transient global amnesia	amnesia		Good	EFO_1001454	http://www.ebi.ac.uk/efo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Amputation	complication		Good	EFO_0009518	http://www.ebi.ac.uk/efo/	https://github.com/EBISPOT/EFO-UKB-mappings	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Amputation of toe	amputation		Good	EFO_0009632	http://www.ebi.ac.uk/efo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Anosmia	Kallmann syndrome		High	Orphanet_478	http://www.orpha.net/ORDO/	https://www.ebi.ac.uk/eva	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Depression medications	unipolar depression		Good	EFO_0003761	http://www.ebi.ac.uk/efo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Any event in cancer register	event		Good	EFO_0009629	http://www.ebi.ac.uk/efo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Any event in hilmo or specialist outpatient	event		Good	EFO_0009629	http://www.ebi.ac.uk/efo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Any operation in hilmo	ileostomy		Good	EFO_0010681	http://www.ebi.ac.uk/efo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Any reimbursement code in KELA	ATC Code V Various		Good	EFO_0005647	http://www.ebi.ac.uk/efo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Arthrosis related co-morbidities	Coimbra ecotype		Good	EFO_0005176	http://www.ebi.ac.uk/efo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Asthma-related infections	Prosthesis-Related Infections		Good	EFO_1001406	http://www.ebi.ac.uk/efo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Asthma-related acute respiratory infections	Recurrent respiratory infections		Medium	HP_0002205	http://purl.obolibrary.org/obo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Asthma-related acute respiratory infections	acute respiratory failure		Medium	MONDO_0001208	http://purl.obolibrary.org/obo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Childhood asthma (age<16)	FVC change measurement, childhood onset asthma, response to placebo	; ; 	Medium	EFO_0010339, EFO_0004591, EFO_0008344	http://www.ebi.ac.uk/efo/, http://www.ebi.ac.uk/efo/, http://www.ebi.ac.uk/efo/	http://www.genome.gov/gwastudies/	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Childhood asthma (age<16)	FVC change measurement		Medium	EFO_0010339	http://www.ebi.ac.uk/efo/	http://www.genome.gov/gwastudies/	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Childhood asthma (age<16)	childhood onset asthma, response to placebo	; 	Medium	EFO_0004591, EFO_0008344	http://www.ebi.ac.uk/efo/, http://www.ebi.ac.uk/efo/	http://www.genome.gov/gwastudies/	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Childhood asthma (age<16)	childhood onset asthma		Medium	EFO_0004591	http://www.ebi.ac.uk/efo/	http://www.genome.gov/gwastudies/	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Childhood asthma (age<16)	FVC change measurement, response to placebo	; 	Medium	EFO_0010339, EFO_0008344	http://www.ebi.ac.uk/efo/, http://www.ebi.ac.uk/efo/	http://www.genome.gov/gwastudies/	[UNKNOWN EXPERIMENTS]
