"","id","sample.size","ncase","ncontrol","sex","category","subcategory","unit","group_name","build","consortium","year","population","trait","pmid","filename","nsnp","delimiter","header","mr","chr_col","pos_col","oa_col","ea_col","snp_col","pval_col","beta_col","se_col","eaf_col"
"11","finn-a-AB1_PEDICULOSIS_ACARIASIS_OTHERINFEST",96499,277,96222,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2020,"European","Pediculosis, acariasis and other infestations",NA,"finngen_r2_AB1_PEDICULOSIS_ACARIASIS_OTHERINFEST.gz",16152119,"tab",TRUE,1,0,1,2,3,4,6,7,8,9
"12","finn-a-AB1_SEQULEAE_OF_INFECTIONS_AND_PARASITES",96499,598,95901,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2020,"European","Sequelae of infectious and parasitic diseases",NA,"finngen_r2_AB1_SEQULEAE_OF_INFECTIONS_AND_PARASITES.gz",16152119,"tab",TRUE,1,0,1,2,3,4,6,7,8,9
"13","finn-a-AB1_SEXUAL_TRANSMISSION",96499,2129,94370,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2020,"European","Infections with a predominantly sexual mode of transmission",NA,"finngen_r2_AB1_SEXUAL_TRANSMISSION.gz",16152119,"tab",TRUE,1,0,1,2,3,4,6,7,8,9
"14","finn-a-AB1_TUBERCULOSIS",96499,502,95997,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2020,"European","Tuberculosis",NA,"finngen_r2_AB1_TUBERCULOSIS.gz",16152119,"tab",TRUE,1,0,1,2,3,4,6,7,8,9
"15","finn-a-AB1_VIRAL_CNS",96499,406,96093,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2020,"European","Viral infections of the central nervous system",NA,"finngen_r2_AB1_VIRAL_CNS.gz",16152119,"tab",TRUE,1,0,1,2,3,4,6,7,8,9
"16","finn-a-AB1_VIRAL_HEPATITIS",96499,448,96051,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2020,"European","Viral hepatitis",NA,"finngen_r2_AB1_VIRAL_HEPATITIS.gz",16152119,"tab",TRUE,1,0,1,2,3,4,6,7,8,9
"17","finn-a-AB1_VIRAL_SKIN_MUCOUS_MEMBRANE",96499,1865,94634,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2020,"European","Viral infections characterized by skin and mucous membrane lesions",NA,"finngen_r2_AB1_VIRAL_SKIN_MUCOUS_MEMBRANE.gz",16152119,"tab",TRUE,1,0,1,2,3,4,6,7,8,9
"18","finn-a-ACUTE_RESPIRATORY_INFECTIONS",89702,15933,73769,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2020,"European","Asthma/COPD-related acute respiratory infections",NA,"finngen_r2_ACUTE_RESPIRATORY_INFECTIONS.gz",16152119,"tab",TRUE,1,0,1,2,3,4,6,7,8,9
"19","finn-a-AD",69524,1788,67736,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2020,"European","Alzheimer's disease",NA,"finngen_r2_AD.gz",16152119,"tab",TRUE,1,0,1,2,3,4,6,7,8,9
"20","finn-a-AD_AM",68127,342,67785,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2020,"European","Alzheimer's disease (Atypical or mixed)",NA,"finngen_r2_AD_AM.gz",16152119,"tab",TRUE,1,0,1,2,3,4,6,7,8,9
"21","finn-a-AD_AM_EXMORE",37215,342,36873,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2020,"European","Alzheimer's disease (Atypical or mixed)",NA,"finngen_r2_AD_AM_EXMORE.gz",16152119,"tab",TRUE,1,0,1,2,3,4,6,7,8,9
"22","finn-a-AD_EO",68095,314,67781,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2020,"European","Alzheimer's disease (Early onset)",NA,"finngen_r2_AD_EO.gz",16152119,"tab",TRUE,1,0,1,2,3,4,6,7,8,9
"23","finn-a-AD_EO_EXMORE",37187,314,36873,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2020,"European","Alzheimer�s disease (Early onset)",NA,"finngen_r2_AD_EO_EXMORE.gz",16152119,"tab",TRUE,1,0,1,2,3,4,6,7,8,9
"24","finn-a-AD_EXMORE",38661,1788,36873,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2020,"European","Alzheimer's disease (more excluded)",NA,"finngen_r2_AD_EXMORE.gz",16152119,"tab",TRUE,1,0,1,2,3,4,6,7,8,9
"25","finn-a-AD_LO",69010,1232,67778,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2020,"European","Alzheimer's disease (Late onset)",NA,"finngen_r2_AD_LO.gz",16152119,"tab",TRUE,1,0,1,2,3,4,6,7,8,9
"26","finn-a-AD_LO_EXMORE",38105,1232,36873,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2020,"European","Alzheimer�s disease (Late onset)",NA,"finngen_r2_AD_LO_EXMORE.gz",16152119,"tab",TRUE,1,0,1,2,3,4,6,7,8,9
"27","finn-a-ALCOETHTOXIC",96499,311,96188,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2020,"European","Toxic effect of ethanol",NA,"finngen_r2_ALCOETHTOXIC.gz",16152119,"tab",TRUE,1,0,1,2,3,4,6,7,8,9
"28","finn-a-ALCOHOLACUTE10",96499,1264,95235,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2020,"European","Acute alcohol intoxication",NA,"finngen_r2_ALCOHOLACUTE10.gz",16152119,"tab",TRUE,1,0,1,2,3,4,6,7,8,9
"29","finn-a-ALCOHOLACUTE9",96499,310,96189,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2020,"European","Acute alcohol intoxication ICD-9 (inculed in Swedish definition)",NA,"finngen_r2_ALCOHOLACUTE9.gz",16152119,"tab",TRUE,1,0,1,2,3,4,6,7,8,9
"30","finn-a-ALCOHOLMENTAL",96499,3994,92505,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2020,"European","Mental and behavioural disorders due to alcohol, excluding acute intoxication",NA,"finngen_r2_ALCOHOLMENTAL.gz",16152119,"tab",TRUE,1,0,1,2,3,4,6,7,8,9
"31","finn-a-ALCOHOL_RELATED",96499,5429,91070,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2020,"European","Alcohol related diseases and deaths, all endoints",NA,"finngen_r2_ALCOHOL_RELATED.gz",16152119,"tab",TRUE,1,0,1,2,3,4,6,7,8,9
"32","finn-a-ALCOLIVER",96499,539,95960,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2020,"European","Alcoholic liver disease",NA,"finngen_r2_ALCOLIVER.gz",16152119,"tab",TRUE,1,0,1,2,3,4,6,7,8,9
"33","finn-a-ALCONEURODEGEN",96499,134,96365,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2020,"European","Degeneration of nervous system due to alcohol",NA,"finngen_r2_ALCONEURODEGEN.gz",16152119,"tab",TRUE,1,0,1,2,3,4,6,7,8,9
"34","finn-a-ALCOPANCACU",96499,156,96343,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2020,"European","Acohol-induced acute pancreatitis",NA,"finngen_r2_ALCOPANCACU.gz",16152119,"tab",TRUE,1,0,1,2,3,4,6,7,8,9
"35","finn-a-ALCOPANCCHRON",96499,343,96156,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2020,"European","Alcohol-induced chronic pancreatitis",NA,"finngen_r2_ALCOPANCCHRON.gz",16152119,"tab",TRUE,1,0,1,2,3,4,6,7,8,9
"36","finn-a-ALCOTOXIC",96499,171,96328,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2020,"European","Toxic effect of unspecified or or other (than ethanol) alcohols",NA,"finngen_r2_ALCOTOXIC.gz",16152119,"tab",TRUE,1,0,1,2,3,4,6,7,8,9
"37","finn-a-ALCO_PRESCRIPTION",96499,732,95767,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2020,"European","Use of disulfiram, acamprosate or naltrexone",NA,"finngen_r2_ALCO_PRESCRIPTION.gz",16152119,"tab",TRUE,1,0,1,2,3,4,6,7,8,9
"38","finn-a-ALLERG_ASTHMA",67285,1764,65521,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2020,"European","Allergic asthma",NA,"finngen_r2_ALLERG_ASTHMA.gz",16152119,"tab",TRUE,1,0,1,2,3,4,6,7,8,9
"39","finn-a-ALLERG_ASTHMA_EXMORE",66891,1764,65127,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2020,"European","Allergic asthma (mode)",NA,"finngen_r2_ALLERG_ASTHMA_EXMORE.gz",16152119,"tab",TRUE,1,0,1,2,3,4,6,7,8,9
"40","finn-a-ALLERG_RHINITIS",96183,2105,94078,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2020,"European","Allergic rhinitis",NA,"finngen_r2_ALLERG_RHINITIS.gz",16152119,"tab",TRUE,1,0,1,2,3,4,6,7,8,9
"41","finn-a-AMN2",96499,511,95988,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2020,"European","Transient global amnesia",NA,"finngen_r2_AMN2.gz",16152119,"tab",TRUE,1,0,1,2,3,4,6,7,8,9
"42","finn-a-AMPUTATION",94722,404,94318,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2020,"European","Amputation",NA,"finngen_r2_AMPUTATION.gz",16152119,"tab",TRUE,1,0,1,2,3,4,6,7,8,9
"43","finn-a-AMPUTATION_TOE",96347,252,96095,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2020,"European","Amputation of toe",NA,"finngen_r2_AMPUTATION_TOE.gz",16152119,"tab",TRUE,1,0,1,2,3,4,6,7,8,9
"44","finn-a-ANOSMIA",32880,144,32736,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2020,"European","Anosmia",NA,"finngen_r2_ANOSMIA.gz",16152119,"tab",TRUE,1,0,1,2,3,4,6,7,8,9
"45","finn-a-ANTIDEPRESSANTS",57044,24308,32736,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2020,"European","Depression medications",NA,"finngen_r2_ANTIDEPRESSANTS.gz",16152119,"tab",TRUE,1,0,1,2,3,4,6,7,8,9
"46","finn-a-ANY_CANC",96499,9792,86707,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2020,"European","Any event in cancer register",NA,"finngen_r2_ANY_CANC.gz",16152119,"tab",TRUE,1,0,1,2,3,4,6,7,8,9
"47","finn-a-ANY_HILMO",96499,94895,1604,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2020,"European","Any event in hilmo or specialist outpatient",NA,"finngen_r2_ANY_HILMO.gz",16152119,"tab",TRUE,1,0,1,2,3,4,6,7,8,9
"48","finn-a-ANY_OPER",96499,86626,9873,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2020,"European","Any operation in hilmo",NA,"finngen_r2_ANY_OPER.gz",16152119,"tab",TRUE,1,0,1,2,3,4,6,7,8,9
"49","finn-a-ANY_REIMB",96499,46166,50333,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2020,"European","Any reimbursement code in KELA",NA,"finngen_r2_ANY_REIMB.gz",16152119,"tab",TRUE,1,0,1,2,3,4,6,7,8,9
"50","finn-a-ARTHROSIS_COMORB",56338,3006,53332,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2020,"European","Arthrosis related co-morbidities",NA,"finngen_r2_ARTHROSIS_COMORB.gz",16152119,"tab",TRUE,1,0,1,2,3,4,6,7,8,9
"51","finn-a-ASHMA_INFECTIONS",96499,22730,73769,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2020,"European","Asthma-related infections",NA,"finngen_r2_ASHMA_INFECTIONS.gz",16152119,"tab",TRUE,1,0,1,2,3,4,6,7,8,9
"52","finn-a-ASTHMA_ACUTE_RESPIRATORY_INFECTIONS",89702,15933,73769,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2020,"European","Asthma-related acute respiratory infections",NA,"finngen_r2_ASTHMA_ACUTE_RESPIRATORY_INFECTIONS.gz",16152119,"tab",TRUE,1,0,1,2,3,4,6,7,8,9
"53","finn-a-ASTHMA_CHILD",66473,992,65481,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2020,"European","Childhood asthma (age<16)",NA,"finngen_r2_ASTHMA_CHILD.gz",16152119,"tab",TRUE,1,0,1,2,3,4,6,7,8,9
"54","finn-a-ASTHMA_CHILD_EXMORE",66079,992,65087,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2020,"European","Childhood asthma (age<16)",NA,"finngen_r2_ASTHMA_CHILD_EXMORE.gz",16152119,"tab",TRUE,1,0,1,2,3,4,6,7,8,9
"55","finn-a-ASTHMA_COMORB",96499,48599,47900,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2020,"European","Asthma associated co-morbidites",NA,"finngen_r2_ASTHMA_COMORB.gz",16152119,"tab",TRUE,1,0,1,2,3,4,6,7,8,9
"56","finn-a-ASTHMA_CVDMETABOCOMORB",75295,27395,47900,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2020,"European","Co-morbidites, CVD and metabolic diseases",NA,"finngen_r2_ASTHMA_CVDMETABOCOMORB.gz",16152119,"tab",TRUE,1,0,1,2,3,4,6,7,8,9
"57","finn-a-ASTHMA_EOSINOPHIL_SUGG",7982,439,7543,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2020,"European","Suggestive for eosinophilic asthma",NA,"finngen_r2_ASTHMA_EOSINOPHIL_SUGG.gz",16152119,"tab",TRUE,1,0,1,2,3,4,6,7,8,9
"58","finn-a-ASTHMA_EXCL",96499,30281,66218,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2020,"European","Excluding asthma or asthma-COPD overlap",NA,"finngen_r2_ASTHMA_EXCL.gz",16152119,"tab",TRUE,1,0,1,2,3,4,6,7,8,9
"59","finn-a-ASTHMA_HOSPITAL1",96499,6839,89660,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2020,"European","Asthma, hospital admissions 1",NA,"finngen_r2_ASTHMA_HOSPITAL1.gz",16152119,"tab",TRUE,1,0,1,2,3,4,6,7,8,9
"60","finn-a-ASTHMA_HOSPITAL2",96499,3471,93028,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2020,"European","Asthma, hospital admission 2",NA,"finngen_r2_ASTHMA_HOSPITAL2.gz",16152119,"tab",TRUE,1,0,1,2,3,4,6,7,8,9
"61","finn-a-ASTHMA_HOSPITAL3",96499,1841,94658,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2020,"European","Asthma, hospital admissions 3",NA,"finngen_r2_ASTHMA_HOSPITAL3.gz",16152119,"tab",TRUE,1,0,1,2,3,4,6,7,8,9
"62","finn-a-ASTHMA_IMMUNECOMORB",54533,6633,47900,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2020,"European","Immune disease comorbidities",NA,"finngen_r2_ASTHMA_IMMUNECOMORB.gz",16152119,"tab",TRUE,1,0,1,2,3,4,6,7,8,9
"63","finn-a-ASTHMA_MEDICATIO_COMORB",60597,12697,47900,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2020,"European","Medication related adverse effects",NA,"finngen_r2_ASTHMA_MEDICATIO_COMORB.gz",16152119,"tab",TRUE,1,0,1,2,3,4,6,7,8,9
"64","finn-a-ASTHMA_MIXED",65742,221,65521,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2020,"European","Asthma mixed form",NA,"finngen_r2_ASTHMA_MIXED.gz",16152119,"tab",TRUE,1,0,1,2,3,4,6,7,8,9
"65","finn-a-ASTHMA_MIXED_EXMORE",65348,221,65127,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2020,"European","Asthma mixed form (mode)",NA,"finngen_r2_ASTHMA_MIXED_EXMORE.gz",16152119,"tab",TRUE,1,0,1,2,3,4,6,7,8,9
"66","finn-a-ASTHMA_MODE",73207,7546,65661,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2020,"European","Asthma (mode)",NA,"finngen_r2_ASTHMA_MODE.gz",16152119,"tab",TRUE,1,0,1,2,3,4,6,7,8,9
"67","finn-a-ASTHMA_NAS",68465,2944,65521,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2020,"European","Asthma (unspecified)",NA,"finngen_r2_ASTHMA_NAS.gz",16152119,"tab",TRUE,1,0,1,2,3,4,6,7,8,9
"68","finn-a-ASTHMA_NAS_EXMORE",68071,2944,65127,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2020,"European","Asthma, unspecified (mode)",NA,"finngen_r2_ASTHMA_NAS_EXMORE.gz",16152119,"tab",TRUE,1,0,1,2,3,4,6,7,8,9
"69","finn-a-ASTHMA_NONALLERG",84309,1225,83084,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2020,"European","Non-allergic asthma",NA,"finngen_r2_ASTHMA_NONALLERG.gz",16152119,"tab",TRUE,1,0,1,2,3,4,6,7,8,9
"70","finn-a-ASTHMA_OBESITY",7982,1334,6648,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2020,"European","Obesity related asthma",NA,"finngen_r2_ASTHMA_OBESITY.gz",16152119,"tab",TRUE,1,0,1,2,3,4,6,7,8,9
"71","finn-a-ASTHMA_OPPORTUNIST_INFECTIONS",7982,176,7806,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2020,"European","Asthma opportunist infections",NA,"finngen_r2_ASTHMA_OPPORTUNIST_INFECTIONS.gz",16152119,"tab",TRUE,1,0,1,2,3,4,6,7,8,9
"72","finn-a-ASTHMA_PNEUMONIA",83819,10050,73769,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2020,"European","Asthma-related pneumonia",NA,"finngen_r2_ASTHMA_PNEUMONIA.gz",16152119,"tab",TRUE,1,0,1,2,3,4,6,7,8,9
"73","finn-a-ASTHMA_PNEUMONIA_AND_SEPSIS",96499,10086,86413,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2020,"European","Asthma-related pneumonia or sepsis",NA,"finngen_r2_ASTHMA_PNEUMONIA_AND_SEPSIS.gz",16152119,"tab",TRUE,1,0,1,2,3,4,6,7,8,9
"74","finn-a-ASTHMA_PSYCH_COMORB",63348,15448,47900,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2020,"European","Psychiatric comorbidites",NA,"finngen_r2_ASTHMA_PSYCH_COMORB.gz",16152119,"tab",TRUE,1,0,1,2,3,4,6,7,8,9
"75","finn-a-ASTHMA_SEPTICHE_PNEUMONIA",73906,137,73769,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2020,"European","Pneumonia derived septichemia",NA,"finngen_r2_ASTHMA_SEPTICHE_PNEUMONIA.gz",16152119,"tab",TRUE,1,0,1,2,3,4,6,7,8,9
"76","finn-a-AUD_SWEDISH",96499,4999,91500,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2020,"European","Alcohol use disorder, Swedish definition",NA,"finngen_r2_AUD_SWEDISH.gz",16152119,"tab",TRUE,1,0,1,2,3,4,6,7,8,9
"77","finn-a-BACT_INTEST_INFECTION_NOS",95875,326,95549,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2020,"European","Other specified/unspecified bacterial intestinal infections",NA,"finngen_r2_BACT_INTEST_INFECTION_NOS.gz",16152119,"tab",TRUE,1,0,1,2,3,4,6,7,8,9
"78","finn-a-BIGUANIDES",95371,9627,85744,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2020,"European","Biguanides",NA,"finngen_r2_BIGUANIDES.gz",16152119,"tab",TRUE,1,0,1,2,3,4,6,7,8,9
"79","finn-a-BRONCHITIS",96499,10395,86104,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2020,"European","Bronchitis",NA,"finngen_r2_BRONCHITIS.gz",16152119,"tab",TRUE,1,0,1,2,3,4,6,7,8,9
"80","finn-a-C3_BLADDER",96499,366,96133,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2020,"European","Malignant neoplasm of bladder",NA,"finngen_r2_C3_BLADDER.gz",16152119,"tab",TRUE,1,0,1,2,3,4,6,7,8,9
"81","finn-a-C3_BLADDER_EXALLC",87427,366,87061,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2020,"European","Malignant neoplasm of bladder (ICD C excluded)",NA,"finngen_r2_C3_BLADDER_EXALLC.gz",16152119,"tab",TRUE,1,0,1,2,3,4,6,7,8,9
"82","finn-a-C3_BRAIN",96499,142,96357,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2020,"European","Malignant neoplasm of brain",NA,"finngen_r2_C3_BRAIN.gz",16152119,"tab",TRUE,1,0,1,2,3,4,6,7,8,9
"83","finn-a-C3_BRAIN_EXALLC",87203,142,87061,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2020,"European","Malignant neoplasm of brain (ICD C excluded)",NA,"finngen_r2_C3_BRAIN_EXALLC.gz",16152119,"tab",TRUE,1,0,1,2,3,4,6,7,8,9
"84","finn-a-C3_BREAST",96499,2589,93910,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2020,"European","Malignant neoplasm of breast",NA,"finngen_r2_C3_BREAST.gz",16152119,"tab",TRUE,1,0,1,2,3,4,6,7,8,9
"85","finn-a-C3_BREAST_3",96499,2589,93910,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2020,"European","Malignant neoplasm of breast",NA,"finngen_r2_C3_BREAST_3.gz",16152119,"tab",TRUE,1,0,1,2,3,4,6,7,8,9
"86","finn-a-C3_BREAST_3_EXALLC",89650,2589,87061,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2020,"European","Malignant neoplasm of breast (ICD C excluded)",NA,"finngen_r2_C3_BREAST_3_EXALLC.gz",16152119,"tab",TRUE,1,0,1,2,3,4,6,7,8,9
"87","finn-a-C3_BREAST_EXALLC",89650,2589,87061,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2020,"European","Malignant neoplasm of breast (ICD C excluded)",NA,"finngen_r2_C3_BREAST_EXALLC.gz",16152119,"tab",TRUE,1,0,1,2,3,4,6,7,8,9
"88","finn-a-C3_BRONCHUS_LUNG",96499,516,95983,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2020,"European","Malignant neoplasm of bronchus and lung",NA,"finngen_r2_C3_BRONCHUS_LUNG.gz",16152119,"tab",TRUE,1,0,1,2,3,4,6,7,8,9
"89","finn-a-C3_BRONCHUS_LUNG_EXALLC",87156,516,86640,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2020,"European","Malignant neoplasm of bronchus and lung (ICD C excluded)",NA,"finngen_r2_C3_BRONCHUS_LUNG_EXALLC.gz",16152119,"tab",TRUE,1,0,1,2,3,4,6,7,8,9
"90","finn-a-C3_CANCER",96499,9438,87061,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2020,"European","Malignant neoplasm",NA,"finngen_r2_C3_CANCER.gz",16152119,"tab",TRUE,1,0,1,2,3,4,6,7,8,9
"91","finn-a-C3_CANCER_EXALLC",96499,9438,87061,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2020,"European","Malignant neoplasm (ICD C excluded)",NA,"finngen_r2_C3_CANCER_EXALLC.gz",16152119,"tab",TRUE,1,0,1,2,3,4,6,7,8,9
"92","finn-a-C3_COLON",96499,583,95916,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2020,"European","Malignant neoplasm of colon",NA,"finngen_r2_C3_COLON.gz",16152119,"tab",TRUE,1,0,1,2,3,4,6,7,8,9
