phenocode	name	category	n_cases	n_controls	path_bucket	path_https
ALCOHOLACUTE9	Acute alcohol intoxication ICD-9 (inculed in Swedish definition)	Other	310	96189	gs://finngen-public-data-r2/summary_stats/finngen_r2_ALCOHOLACUTE9.gz	https://storage.googleapis.com/finngen-public-data-r2/summary_stats/finngen_r2_ALCOHOLACUTE9.gz
ALCOHOLMENTAL	Mental and behavioural disorders due to alcohol, excluding acute intoxication	Other	3994	92505	gs://finngen-public-data-r2/summary_stats/finngen_r2_ALCOHOLMENTAL.gz	https://storage.googleapis.com/finngen-public-data-r2/summary_stats/finngen_r2_ALCOHOLMENTAL.gz
ALCOHOL_RELATED	Alcohol related diseases and deaths, all endoints	Other	5429	91070	gs://finngen-public-data-r2/summary_stats/finngen_r2_ALCOHOL_RELATED.gz	https://storage.googleapis.com/finngen-public-data-r2/summary_stats/finngen_r2_ALCOHOL_RELATED.gz
ALCOLIVER	Alcoholic liver disease	Other	539	95960	gs://finngen-public-data-r2/summary_stats/finngen_r2_ALCOLIVER.gz	https://storage.googleapis.com/finngen-public-data-r2/summary_stats/finngen_r2_ALCOLIVER.gz
ALCONEURODEGEN	Degeneration of nervous system due to alcohol	Other	134	96365	gs://finngen-public-data-r2/summary_stats/finngen_r2_ALCONEURODEGEN.gz	https://storage.googleapis.com/finngen-public-data-r2/summary_stats/finngen_r2_ALCONEURODEGEN.gz
ALCOPANCACU	Acohol-induced acute pancreatitis	Other	156	96343	gs://finngen-public-data-r2/summary_stats/finngen_r2_ALCOPANCACU.gz	https://storage.googleapis.com/finngen-public-data-r2/summary_stats/finngen_r2_ALCOPANCACU.gz
ALCOPANCCHRON	Alcohol-induced chronic pancreatitis	Other	343	96156	gs://finngen-public-data-r2/summary_stats/finngen_r2_ALCOPANCCHRON.gz	https://storage.googleapis.com/finngen-public-data-r2/summary_stats/finngen_r2_ALCOPANCCHRON.gz
ALCOTOXIC	Toxic effect of unspecified or or other (than ethanol) alcohols	Other	171	96328	gs://finngen-public-data-r2/summary_stats/finngen_r2_ALCOTOXIC.gz	https://storage.googleapis.com/finngen-public-data-r2/summary_stats/finngen_r2_ALCOTOXIC.gz
ALCO_PRESCRIPTION	Use of disulfiram, acamprosate or naltrexone	Other	732	95767	gs://finngen-public-data-r2/summary_stats/finngen_r2_ALCO_PRESCRIPTION.gz	https://storage.googleapis.com/finngen-public-data-r2/summary_stats/finngen_r2_ALCO_PRESCRIPTION.gz
ALLERG_ASTHMA	Allergic asthma	Other	1764	65521	gs://finngen-public-data-r2/summary_stats/finngen_r2_ALLERG_ASTHMA.gz	https://storage.googleapis.com/finngen-public-data-r2/summary_stats/finngen_r2_ALLERG_ASTHMA.gz
ALLERG_ASTHMA_EXMORE	Allergic asthma (mode)	Other	1764	65127	gs://finngen-public-data-r2/summary_stats/finngen_r2_ALLERG_ASTHMA_EXMORE.gz	https://storage.googleapis.com/finngen-public-data-r2/summary_stats/finngen_r2_ALLERG_ASTHMA_EXMORE.gz
ALLERG_RHINITIS	Allergic rhinitis	Other	2105	94078	gs://finngen-public-data-r2/summary_stats/finngen_r2_ALLERG_RHINITIS.gz	https://storage.googleapis.com/finngen-public-data-r2/summary_stats/finngen_r2_ALLERG_RHINITIS.gz
AMN2	Transient global amnesia	Other	511	95988	gs://finngen-public-data-r2/summary_stats/finngen_r2_AMN2.gz	https://storage.googleapis.com/finngen-public-data-r2/summary_stats/finngen_r2_AMN2.gz
AMPUTATION	Amputation	Other	404	94318	gs://finngen-public-data-r2/summary_stats/finngen_r2_AMPUTATION.gz	https://storage.googleapis.com/finngen-public-data-r2/summary_stats/finngen_r2_AMPUTATION.gz
AMPUTATION_TOE	Amputation of toe	Other	252	96095	gs://finngen-public-data-r2/summary_stats/finngen_r2_AMPUTATION_TOE.gz	https://storage.googleapis.com/finngen-public-data-r2/summary_stats/finngen_r2_AMPUTATION_TOE.gz
ANOSMIA	Anosmia	Other	144	32736	gs://finngen-public-data-r2/summary_stats/finngen_r2_ANOSMIA.gz	https://storage.googleapis.com/finngen-public-data-r2/summary_stats/finngen_r2_ANOSMIA.gz
ANTIDEPRESSANTS	Depression medications	Other	24308	32736	gs://finngen-public-data-r2/summary_stats/finngen_r2_ANTIDEPRESSANTS.gz	https://storage.googleapis.com/finngen-public-data-r2/summary_stats/finngen_r2_ANTIDEPRESSANTS.gz
ANY_CANC	Any event in cancer register	Other	9792	86707	gs://finngen-public-data-r2/summary_stats/finngen_r2_ANY_CANC.gz	https://storage.googleapis.com/finngen-public-data-r2/summary_stats/finngen_r2_ANY_CANC.gz
ANY_HILMO	Any event in hilmo or specialist outpatient	Other	94895	1604	gs://finngen-public-data-r2/summary_stats/finngen_r2_ANY_HILMO.gz	https://storage.googleapis.com/finngen-public-data-r2/summary_stats/finngen_r2_ANY_HILMO.gz
ANY_OPER	Any operation in hilmo	Other	86626	9873	gs://finngen-public-data-r2/summary_stats/finngen_r2_ANY_OPER.gz	https://storage.googleapis.com/finngen-public-data-r2/summary_stats/finngen_r2_ANY_OPER.gz
ANY_REIMB	Any reimbursement code in KELA	Other	46166	50333	gs://finngen-public-data-r2/summary_stats/finngen_r2_ANY_REIMB.gz	https://storage.googleapis.com/finngen-public-data-r2/summary_stats/finngen_r2_ANY_REIMB.gz
ARTHROSIS_COMORB	Arthrosis related co-morbidities	Other	3006	53332	gs://finngen-public-data-r2/summary_stats/finngen_r2_ARTHROSIS_COMORB.gz	https://storage.googleapis.com/finngen-public-data-r2/summary_stats/finngen_r2_ARTHROSIS_COMORB.gz
ASHMA_INFECTIONS	Asthma-related infections	Other	22730	73769	gs://finngen-public-data-r2/summary_stats/finngen_r2_ASHMA_INFECTIONS.gz	https://storage.googleapis.com/finngen-public-data-r2/summary_stats/finngen_r2_ASHMA_INFECTIONS.gz
ASTHMA_ACUTE_RESPIRATORY_INFECTIONS	Asthma-related acute respiratory infections	Other	15933	73769	gs://finngen-public-data-r2/summary_stats/finngen_r2_ASTHMA_ACUTE_RESPIRATORY_INFECTIONS.gz	https://storage.googleapis.com/finngen-public-data-r2/summary_stats/finngen_r2_ASTHMA_ACUTE_RESPIRATORY_INFECTIONS.gz
ASTHMA_CHILD	Childhood asthma (age<16)	Other	992	65481	gs://finngen-public-data-r2/summary_stats/finngen_r2_ASTHMA_CHILD.gz	https://storage.googleapis.com/finngen-public-data-r2/summary_stats/finngen_r2_ASTHMA_CHILD.gz
ASTHMA_CHILD_EXMORE	Childhood asthma (age<16)	Other	992	65087	gs://finngen-public-data-r2/summary_stats/finngen_r2_ASTHMA_CHILD_EXMORE.gz	https://storage.googleapis.com/finngen-public-data-r2/summary_stats/finngen_r2_ASTHMA_CHILD_EXMORE.gz
ASTHMA_COMORB	Asthma associated co-morbidites	Other	48599	47900	gs://finngen-public-data-r2/summary_stats/finngen_r2_ASTHMA_COMORB.gz	https://storage.googleapis.com/finngen-public-data-r2/summary_stats/finngen_r2_ASTHMA_COMORB.gz
ASTHMA_CVDMETABOCOMORB	Co-morbidites, CVD and metabolic diseases	Other	27395	47900	gs://finngen-public-data-r2/summary_stats/finngen_r2_ASTHMA_CVDMETABOCOMORB.gz	https://storage.googleapis.com/finngen-public-data-r2/summary_stats/finngen_r2_ASTHMA_CVDMETABOCOMORB.gz
ASTHMA_EOSINOPHIL_SUGG	Suggestive for eosinophilic asthma	Other	439	7543	gs://finngen-public-data-r2/summary_stats/finngen_r2_ASTHMA_EOSINOPHIL_SUGG.gz	https://storage.googleapis.com/finngen-public-data-r2/summary_stats/finngen_r2_ASTHMA_EOSINOPHIL_SUGG.gz
ASTHMA_EXCL	Excluding asthma or asthma-COPD overlap	Other	30281	66218	gs://finngen-public-data-r2/summary_stats/finngen_r2_ASTHMA_EXCL.gz	https://storage.googleapis.com/finngen-public-data-r2/summary_stats/finngen_r2_ASTHMA_EXCL.gz
ASTHMA_HOSPITAL1	Asthma, hospital admissions 1	Other	6839	89660	gs://finngen-public-data-r2/summary_stats/finngen_r2_ASTHMA_HOSPITAL1.gz	https://storage.googleapis.com/finngen-public-data-r2/summary_stats/finngen_r2_ASTHMA_HOSPITAL1.gz
ASTHMA_HOSPITAL2	Asthma, hospital admission 2	Other	3471	93028	gs://finngen-public-data-r2/summary_stats/finngen_r2_ASTHMA_HOSPITAL2.gz	https://storage.googleapis.com/finngen-public-data-r2/summary_stats/finngen_r2_ASTHMA_HOSPITAL2.gz
ASTHMA_HOSPITAL3	Asthma, hospital admissions 3	Other	1841	94658	gs://finngen-public-data-r2/summary_stats/finngen_r2_ASTHMA_HOSPITAL3.gz	https://storage.googleapis.com/finngen-public-data-r2/summary_stats/finngen_r2_ASTHMA_HOSPITAL3.gz
ASTHMA_IMMUNECOMORB	Immune disease comorbidities	Other	6633	47900	gs://finngen-public-data-r2/summary_stats/finngen_r2_ASTHMA_IMMUNECOMORB.gz	https://storage.googleapis.com/finngen-public-data-r2/summary_stats/finngen_r2_ASTHMA_IMMUNECOMORB.gz
ASTHMA_MEDICATIO_COMORB	Medication related adverse effects	Other	12697	47900	gs://finngen-public-data-r2/summary_stats/finngen_r2_ASTHMA_MEDICATIO_COMORB.gz	https://storage.googleapis.com/finngen-public-data-r2/summary_stats/finngen_r2_ASTHMA_MEDICATIO_COMORB.gz
ASTHMA_MIXED	Asthma mixed form	Other	221	65521	gs://finngen-public-data-r2/summary_stats/finngen_r2_ASTHMA_MIXED.gz	https://storage.googleapis.com/finngen-public-data-r2/summary_stats/finngen_r2_ASTHMA_MIXED.gz
ASTHMA_MIXED_EXMORE	Asthma mixed form (mode)	Other	221	65127	gs://finngen-public-data-r2/summary_stats/finngen_r2_ASTHMA_MIXED_EXMORE.gz	https://storage.googleapis.com/finngen-public-data-r2/summary_stats/finngen_r2_ASTHMA_MIXED_EXMORE.gz
ASTHMA_MODE	Asthma (mode)	Other	7546	65661	gs://finngen-public-data-r2/summary_stats/finngen_r2_ASTHMA_MODE.gz	https://storage.googleapis.com/finngen-public-data-r2/summary_stats/finngen_r2_ASTHMA_MODE.gz
ASTHMA_NAS	Asthma (unspecified)	Other	2944	65521	gs://finngen-public-data-r2/summary_stats/finngen_r2_ASTHMA_NAS.gz	https://storage.googleapis.com/finngen-public-data-r2/summary_stats/finngen_r2_ASTHMA_NAS.gz
ASTHMA_NAS_EXMORE	Asthma, unspecified (mode)	Other	2944	65127	gs://finngen-public-data-r2/summary_stats/finngen_r2_ASTHMA_NAS_EXMORE.gz	https://storage.googleapis.com/finngen-public-data-r2/summary_stats/finngen_r2_ASTHMA_NAS_EXMORE.gz
ASTHMA_NONALLERG	Non-allergic asthma	Other	1225	83084	gs://finngen-public-data-r2/summary_stats/finngen_r2_ASTHMA_NONALLERG.gz	https://storage.googleapis.com/finngen-public-data-r2/summary_stats/finngen_r2_ASTHMA_NONALLERG.gz
ASTHMA_OBESITY	Obesity related asthma	Other	1334	6648	gs://finngen-public-data-r2/summary_stats/finngen_r2_ASTHMA_OBESITY.gz	https://storage.googleapis.com/finngen-public-data-r2/summary_stats/finngen_r2_ASTHMA_OBESITY.gz
ASTHMA_OPPORTUNIST_INFECTIONS	Asthma opportunist infections	Other	176	7806	gs://finngen-public-data-r2/summary_stats/finngen_r2_ASTHMA_OPPORTUNIST_INFECTIONS.gz	https://storage.googleapis.com/finngen-public-data-r2/summary_stats/finngen_r2_ASTHMA_OPPORTUNIST_INFECTIONS.gz
ASTHMA_PNEUMONIA	Asthma-related pneumonia	Other	10050	73769	gs://finngen-public-data-r2/summary_stats/finngen_r2_ASTHMA_PNEUMONIA.gz	https://storage.googleapis.com/finngen-public-data-r2/summary_stats/finngen_r2_ASTHMA_PNEUMONIA.gz
ASTHMA_PNEUMONIA_AND_SEPSIS	Asthma-related pneumonia or sepsis	Other	10086	86413	gs://finngen-public-data-r2/summary_stats/finngen_r2_ASTHMA_PNEUMONIA_AND_SEPSIS.gz	https://storage.googleapis.com/finngen-public-data-r2/summary_stats/finngen_r2_ASTHMA_PNEUMONIA_AND_SEPSIS.gz
ASTHMA_PSYCH_COMORB	Psychiatric comorbidites	Other	15448	47900	gs://finngen-public-data-r2/summary_stats/finngen_r2_ASTHMA_PSYCH_COMORB.gz	https://storage.googleapis.com/finngen-public-data-r2/summary_stats/finngen_r2_ASTHMA_PSYCH_COMORB.gz
ASTHMA_SEPTICHE_PNEUMONIA	Pneumonia derived septichemia	Other	137	73769	gs://finngen-public-data-r2/summary_stats/finngen_r2_ASTHMA_SEPTICHE_PNEUMONIA.gz	https://storage.googleapis.com/finngen-public-data-r2/summary_stats/finngen_r2_ASTHMA_SEPTICHE_PNEUMONIA.gz
AUD_SWEDISH	Alcohol use disorder, Swedish definition	Other	4999	91500	gs://finngen-public-data-r2/summary_stats/finngen_r2_AUD_SWEDISH.gz	https://storage.googleapis.com/finngen-public-data-r2/summary_stats/finngen_r2_AUD_SWEDISH.gz
BACT_INTEST_INFECTION_NOS	Other specified/unspecified bacterial intestinal infections	Other	326	95549	gs://finngen-public-data-r2/summary_stats/finngen_r2_BACT_INTEST_INFECTION_NOS.gz	https://storage.googleapis.com/finngen-public-data-r2/summary_stats/finngen_r2_BACT_INTEST_INFECTION_NOS.gz
BIGUANIDES	Biguanides	Other	9627	85744	gs://finngen-public-data-r2/summary_stats/finngen_r2_BIGUANIDES.gz	https://storage.googleapis.com/finngen-public-data-r2/summary_stats/finngen_r2_BIGUANIDES.gz
BRONCHITIS	Bronchitis	Other	10395	86104	gs://finngen-public-data-r2/summary_stats/finngen_r2_BRONCHITIS.gz	https://storage.googleapis.com/finngen-public-data-r2/summary_stats/finngen_r2_BRONCHITIS.gz
C3_BLADDER	Malignant neoplasm of bladder	Neoplasms	366	96133	gs://finngen-public-data-r2/summary_stats/finngen_r2_C3_BLADDER.gz	https://storage.googleapis.com/finngen-public-data-r2/summary_stats/finngen_r2_C3_BLADDER.gz
C3_BLADDER_EXALLC	Malignant neoplasm of bladder (ICD C excluded)	Neoplasms	366	87061	gs://finngen-public-data-r2/summary_stats/finngen_r2_C3_BLADDER_EXALLC.gz	https://storage.googleapis.com/finngen-public-data-r2/summary_stats/finngen_r2_C3_BLADDER_EXALLC.gz
C3_BRAIN	Malignant neoplasm of brain	Neoplasms	142	96357	gs://finngen-public-data-r2/summary_stats/finngen_r2_C3_BRAIN.gz	https://storage.googleapis.com/finngen-public-data-r2/summary_stats/finngen_r2_C3_BRAIN.gz
C3_BRAIN_EXALLC	Malignant neoplasm of brain (ICD C excluded)	Neoplasms	142	87061	gs://finngen-public-data-r2/summary_stats/finngen_r2_C3_BRAIN_EXALLC.gz	https://storage.googleapis.com/finngen-public-data-r2/summary_stats/finngen_r2_C3_BRAIN_EXALLC.gz
C3_BREAST	Malignant neoplasm of breast	Neoplasms	2589	93910	gs://finngen-public-data-r2/summary_stats/finngen_r2_C3_BREAST.gz	https://storage.googleapis.com/finngen-public-data-r2/summary_stats/finngen_r2_C3_BREAST.gz
C3_BREAST_3	Malignant neoplasm of breast	Neoplasms	2589	93910	gs://finngen-public-data-r2/summary_stats/finngen_r2_C3_BREAST_3.gz	https://storage.googleapis.com/finngen-public-data-r2/summary_stats/finngen_r2_C3_BREAST_3.gz
C3_BREAST_3_EXALLC	Malignant neoplasm of breast (ICD C excluded)	Neoplasms	2589	87061	gs://finngen-public-data-r2/summary_stats/finngen_r2_C3_BREAST_3_EXALLC.gz	https://storage.googleapis.com/finngen-public-data-r2/summary_stats/finngen_r2_C3_BREAST_3_EXALLC.gz
C3_BREAST_EXALLC	Malignant neoplasm of breast (ICD C excluded)	Neoplasms	2589	87061	gs://finngen-public-data-r2/summary_stats/finngen_r2_C3_BREAST_EXALLC.gz	https://storage.googleapis.com/finngen-public-data-r2/summary_stats/finngen_r2_C3_BREAST_EXALLC.gz
C3_BRONCHUS_LUNG	Malignant neoplasm of bronchus and lung	Neoplasms	516	95983	gs://finngen-public-data-r2/summary_stats/finngen_r2_C3_BRONCHUS_LUNG.gz	https://storage.googleapis.com/finngen-public-data-r2/summary_stats/finngen_r2_C3_BRONCHUS_LUNG.gz
C3_BRONCHUS_LUNG_EXALLC	Malignant neoplasm of bronchus and lung (ICD C excluded)	Neoplasms	516	86640	gs://finngen-public-data-r2/summary_stats/finngen_r2_C3_BRONCHUS_LUNG_EXALLC.gz	https://storage.googleapis.com/finngen-public-data-r2/summary_stats/finngen_r2_C3_BRONCHUS_LUNG_EXALLC.gz
C3_CANCER	Malignant neoplasm	Neoplasms	9438	87061	gs://finngen-public-data-r2/summary_stats/finngen_r2_C3_CANCER.gz	https://storage.googleapis.com/finngen-public-data-r2/summary_stats/finngen_r2_C3_CANCER.gz
C3_CANCER_EXALLC	Malignant neoplasm (ICD C excluded)	Neoplasms	9438	87061	gs://finngen-public-data-r2/summary_stats/finngen_r2_C3_CANCER_EXALLC.gz	https://storage.googleapis.com/finngen-public-data-r2/summary_stats/finngen_r2_C3_CANCER_EXALLC.gz
C3_COLON	Malignant neoplasm of colon	Neoplasms	583	95916	gs://finngen-public-data-r2/summary_stats/finngen_r2_C3_COLON.gz	https://storage.googleapis.com/finngen-public-data-r2/summary_stats/finngen_r2_C3_COLON.gz
C3_COLON_ADENO	Colon adenocarcinoma	Neoplasms	462	96037	gs://finngen-public-data-r2/summary_stats/finngen_r2_C3_COLON_ADENO.gz	https://storage.googleapis.com/finngen-public-data-r2/summary_stats/finngen_r2_C3_COLON_ADENO.gz
C3_COLON_ADENO_EXALLC	Colon adenocarcinoma (ICD C excluded)	Neoplasms	462	87061	gs://finngen-public-data-r2/summary_stats/finngen_r2_C3_COLON_ADENO_EXALLC.gz	https://storage.googleapis.com/finngen-public-data-r2/summary_stats/finngen_r2_C3_COLON_ADENO_EXALLC.gz
C3_COLON_EXALLC	Malignant neoplasm of colon (ICD C excluded)	Neoplasms	583	87061	gs://finngen-public-data-r2/summary_stats/finngen_r2_C3_COLON_EXALLC.gz	https://storage.googleapis.com/finngen-public-data-r2/summary_stats/finngen_r2_C3_COLON_EXALLC.gz
C3_CORPUS_UTERI	Malignant neoplasm of corpus uteri	Neoplasms	366	53896	gs://finngen-public-data-r2/summary_stats/finngen_r2_C3_CORPUS_UTERI.gz	https://storage.googleapis.com/finngen-public-data-r2/summary_stats/finngen_r2_C3_CORPUS_UTERI.gz
C3_CORPUS_UTERI_EXALLC	Malignant neoplasm of corpus uteri (ICD C excluded)	Neoplasms	366	87061	gs://finngen-public-data-r2/summary_stats/finngen_r2_C3_CORPUS_UTERI_EXALLC.gz	https://storage.googleapis.com/finngen-public-data-r2/summary_stats/finngen_r2_C3_CORPUS_UTERI_EXALLC.gz
C3_DIGESTIVE_ORGANS	Malignant neoplasm of digestive organs	Neoplasms	1582	94917	gs://finngen-public-data-r2/summary_stats/finngen_r2_C3_DIGESTIVE_ORGANS.gz	https://storage.googleapis.com/finngen-public-data-r2/summary_stats/finngen_r2_C3_DIGESTIVE_ORGANS.gz
C3_DIGESTIVE_ORGANS_EXALLC	Malignant neoplasm of digestive organs (ICD C excluded)	Neoplasms	1582	87061	gs://finngen-public-data-r2/summary_stats/finngen_r2_C3_DIGESTIVE_ORGANS_EXALLC.gz	https://storage.googleapis.com/finngen-public-data-r2/summary_stats/finngen_r2_C3_DIGESTIVE_ORGANS_EXALLC.gz
C3_ENDOCRINE	Malignant neoplasm of endocrine gland	Neoplasms	328	96171	gs://finngen-public-data-r2/summary_stats/finngen_r2_C3_ENDOCRINE.gz	https://storage.googleapis.com/finngen-public-data-r2/summary_stats/finngen_r2_C3_ENDOCRINE.gz
